objectid,filename,title,format,description,creator,date,item_information,subject,location,source,identifier,rights,rightsstatement,type,language
standard029,standard_mar_1990.pdf,"Standard, Vol. 5, No. 2",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1990-03,four-page; newsletter,"""How May We Serve You Better?""; Super Weekend; Around Campus; Needs; ""I Need Your Help and I Need It--Now!""","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1ZTv_fiBxC-So6phGV72Jido9OYTd06T3/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard030,standard_may_1990.pdf,"Standard, Vol. 5, No. 3",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1990-05,four-page; newsletter,"""What a Year! This Year and Next!""; Get Acquainted Days; ""Amy Carmichael Society Presents Gift""; Graduate Testimonies; Summer Missions Work; Donations; ""Looking to the Future . . .""; ""Author to Speak at Graduation""; ""Does God Ever Need Anything?""; Board Members","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1lGtc3G79gruhisnl1k-cXWudCGRosFVY/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard031,standard_july_1990.pdf,"Standard, Vol. 5, July 1990, No. 4",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1990-07,four-page; newsletter,"""It's Not Too Late to Enroll: Students Are Top Priority""; Christian School Blitz; Extension Studies; ""We ARE Serving 'You' Better""; Upcoming Events; Graduation; Service 1990 Report; Honor Roll; ""Where Do You Send Your Students and Support?""; Minister's Retreat","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1Fvbh6jYRHMfnPteXtrzspmdrO9N3dQzO/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard032,standard_sept_1990.pdf,"Standard, Vol. 5, September 1990, No. 5",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1990-09,four-page; newsletter,"""Ecclesiastical Separation""; Enrollment; Testimonies; Staff; Missions Retreat; Missions Conference; Upcoming Events; External Study; Highlights; ""Give a Gift That Keeps on Giving!!!""","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1rfoiOYnk5Aa92uR_JYzH2GNKtD0eslGV/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard033,standard_nov_1990.pdf,"Standard, Vol. 5, November 1990, No. 6",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1990-11,four-page; newsletter,"""A Whack Alongside the Head!""; Christian Service; Donations; Tip-Off Tournament; Missions Retreat; Enrollment; Get Aquainted Days; ""Is God Really Working?""","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1CClLE_enG_04_AwfLAi87bTy2pVe0nbS/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard034,standard_jan_1991.pdf,"Standard, Vol. 6, January 1991, No. 1",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1991-01,four-page; newsletter,"""Spring Revival and Soul Winning Conference: Plan to Attend""; Who's Who; Cheerleading Contest; Honor Roll; Pastor's Retreat; Get Acquainted Days; College Choir; ""Mischa Bevan with the Lord!""; Christmas Thanks","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1HjDmbAhYcPXNzyxsipxdMsimqpjOeRbQ/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard035,standard_apr_1991.pdf,"Standard, Vol. 5, April 1991, No. 3",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1991-04,four-page; newsletter,"""Southeastern Can Do!""; Run for Fun; Get Acquainted Days; Graduation Speaker; Conditional Security; Testimonies; Tip-Off Tournament; Donations; Loan Fund; School of Business","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1CMnkum3_eQDufU_4T--0s8ek7UCfcDnY/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard036,standard_june_1991.pdf,"Standard, Vol. 5, June 1991, No. 4",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1991-06,four-page; newsletter,"""Southeastern Wants You!""; Donations; Evangelism Conference; Missions; Choir Tour; Get Acquainted Days; Music Recordings; Fun Run; Honors; Graduation; Upcoming Events","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1uQ1e7Jf6XPwddeKUjiNfoWc_69LM_etf/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard037,standard_july_1991.pdf,"Standard, Vol. 5, July 1991, No. 5, Special Edition",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1991-07,four-page; newsletter,"""Harvest Home""; ""Thank You! Lorenza Stox""; Staff; Pastor's Retreat; Stay in Touch","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1i3DoJ2SsvzPhaArWDIzwp6eNZTphHql5/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard038,standard_sept_1991.pdf,"Standard, Vol. 5, September 1991, No. 3",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1991-09,four-page; newsletter,Missions Conference; Missions Retreat; Enrollment; Get Acquainted Days; Upcoming Events; Honor Roll; Tip-Off Tournament; Minister's Retreat; Needs; Special Thanks; Testimonies,"35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1TlQRzNGbqVjTdeUkwtuOkUCKreAQP_r8/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard039,standard_nov_1991.pdf,"Standard, Vol. 5, November 1991, No. 6",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1991-11,four-page; newsletter,Minister's Retreat; Missions Retreat; Get Acquainted Days; Thanksgiving; Music Recordings,"35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1JEEBV_mCa3qXX7sfyniwJL2KVLFfwyUO/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard040,standard_jan_1992.pdf,"Standard, Vol. 6, January 1992, No. 1",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1992-01,four-page; newsletter,"""Come to Camp Meetin'""; Who's Who; Alumni; Tip-Off Tournament; Cheerleading Competition; Music Recordings; Mischa Bevan Memorial Loan Fund","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1j_QDGtNU5SScJZASkRfovGzi0UvimSGH/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard041,standard_mar_1992.pdf,"Standard, Vol. 6, March 1992, No. 2.pdf",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1992-03,four-page; newsletter,"Graduation Speaker; ""Following the Knights""; Enrollment; Needs; Alumni; Spring Break; Choir Tour; Music Tapes; ""Southeastern Is Alive and Well""","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1V2qQ3ueIy38EgL-uDuM8HkWoT2759mhJ/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard042,standard_may_1992.pdf,"Standard, Vol. 6, May 1992, No. 3",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1992-05,four-page; newsletter,"""Be a Part of Our Tenth Anniversary!""; Summer Missions; Interns; Alumni Association; Alumni; Graduation; Get Acquainted Days; Revival and Soul Winning Conference","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1BK4fSMpXbGgAfoeSaItLHE4UIWbqfqar/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard043,standard_july_1992.pdf,"Standard, Vol. 6, July 1992, No. 4",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1992-07,four-page; newsletter,"""Calling All Students""; Special Thanks; Staff; Alumni; Upcoming Events; ""Miracle on Eagle Rock Road""","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1fT-RL6OaPjI_JkHf4UiEa3wt7crGVz1o/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard044,standard_sept_1992.pdf,"Standard, Vol. 6, September 1992, No. 6",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1992-09,four-page; newsletter,"""Tenth Annual Misionary Conference""; Summer Missions; Ensemble; Enrollment; Scholarships; Faculty; Special Thanks; Missions Week; Alumni; Get Acquainted Days; Testimonies; Upcoming Events","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1JjzLNNZ5XNZzdU9TFP-a9A_XMhWnH31g/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard045,standard_nov_1992.pdf,"Standard, Vol. 6, November 1992, No. 6",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1992-11,four-page; newsletter,"""The Sin of Ingratitude""; Special Thanks; Who's Who; Alumni; Guest Speaker; Scholarships; Testimonies; ""Students, Faculty and Staff Greet Vice-President, Dan Quayle""; Missions Retreat","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1n0d4xtLdN-3iddIz_2UizyUtWMc3QGWe/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard046,standard_no1_1993.pdf,"Standard, Vol. 7, No. 1",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1993,four-page; newsletter,"Spring Conference; College Day; Alumni; Get Acquainted Days; ""Introducing Matt Petit""; Honor Roll; ""Help Us Celebrate Our Tenth Anniversary""","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/14Sz48_muCx5gmpfh8j4bWi4QhBfEdiL4/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard047,standard_no2_1993.pdf,"Standard, Vol. 7, 1993, No. 2",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1993,four-page; newsletter,"Spring Conference; Ten Year Anniversary; ""How About Using Our 'Preacher-Boys'""; Alumni; Donations; Graduation Speaker; Alumni; Testimonies; Accreditation","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1yE2luc_dmAgbbnhRxd9wLz1OcbG-aBMj/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard048,standard_may_1993.pdf,"Standard, Vol. 7, May 1993, No. 3",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1993-05,four-page; newsletter,One Hundred Club; Music Tapes; Revival and Soul Winning Conference; Alumni; Donations; Alumni Association; Get Acquainted Days; Most Outstanding Student; Summer Missions; Upcoming Events,"35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1GuIru9pU0fjrX87DRulAzGjt5Ld8OJzN/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard049,standard_july_1993.pdf,"Standard, Vol. 7, July 1993, No. 4",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1993-07,four-page; newsletter,"""Still Standing""; Music Recordings; Upcoming Events; Staff; Donations; Alumni; Ensemble; Graduation","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1AaigMA2ieGIoeZwquKQ4Kp4vYqXTxPSO/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard050,standard_sept_1993.pdf,"Standard, Vol. 7, September 1993, No. 5",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1993-09,four-page; newsletter,Missions Conference; Music Recordings; Alumni; Special Thanks; Upcoming Events; Donations; Staff; Get Acquainted Days; Promotional Schedule; Enrollment,"35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1-JqwZpn4ghiWsUWBqXYv5wNlNW1wlarf/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard051,standard_jan_1994.pdf,"Standard, Vol. 8, January 1994, No. 1",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1994-01,four-page; newsletter,"""Looking Up!!""; Upcoming Events; Music Program; Alumni; Get Acquainted Days; Revival and Soul Winning Conference; Who's Who; Honor Roll; Scholarships","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1hHwd2IqUC4DZTwwpev7oI4mdfRZKgU3a/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard052,standard_mar_1994.pdf,"Standard, Vol. 8, March 1994, Vol. 2",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1994-03,four-page; newsletter,"""Let's Have a Family Reunion""; Revival and Soul Winning Conference; Graduation; Alumni; Choir Reunion; Needs; ""New Promotional Director says, 'We're Excited at Southeastern'""; Special Thanks","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1x4OGesxzW4ht3uiMSI2QXdnCPEOwR6Jq/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard053,standard_may_1994.pdf,"Standard, Vol. 8, May 1994, No. 3",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1994-05,four-page; newsletter,"""Soldiers or Softies?""; Alumni; Summer Missions; Graduation; Needs; ""A Tribute to Randy Sawyer""; Conference on Revival and Soul Winning; Special Thanks","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1YMg50lhLuxfyRUMagAJpVWG5ctUCmQAR/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard054,standard_july_1994.pdf,"Standard, Vol. 8, July 1994, No. 4",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1994-07,four-page; newsletter,"""Why I Use the King James Version""; Faculty; Scholarships; Missions Conference; Alumni; Donations; Music Recordings; Promotional Schedule; Upcoming Events; Needs","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1_Ddgjx3am50W8t32dn1TOttAzKWVfflL/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard055,standard_sept_1994.pdf,"Standard, Vol. 8, September 1994, No. 5",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1994-09,four-page; newsletter,"""Should We Care about Quality?""; Enrollment; Alumni; Missions Conference; Summer Groups; Testimonies; Music Recordings; Ensemble; Donations; Special Thanks","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1RCV3okxnzU-AyBaUbJ-lZtoFOkD2UpcT/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard056,standard_nov_1994.pdf,"Standard, Vol. 8, November 1994, No. 6",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1994-11,six-page; newsletter,"""The Grace of Gratitude""; Golf Tournament; Special Thanks; Needs; Missions Retreat; Missions Conference; Testimonies; Alumni; Promotional Schedule","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1djNS8cpwJCqYzsrIjPZMEtPWu7HA1nyN/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard057,standard_jan_1995.pdf,"Standard, Vol. 9, January 1995, No. 1",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1995-01,four-page; newsletter,"""Great Preaching Conference Planned for Spring Meeting""; Upcoming Events; Congratulations; Testimonies; Special Thanks; Promotional Schedule; Ensemble; Alumni; Honor Roll","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1JsoEgLtBZDU37hpsw2e9ARSPH66zMZvk/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard058,standard_mar_1995.pdf,"Standard, Vol. 9, March 1995, No. 2",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1995-03,four-page; newsletter,"""Preach, Preacher, Preach!""; Who's Who; Music Recordings; Alumni; Promotional Schedule; Friends of Southeastern Banquet; Revival and Soul Winning Conference","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1ItNCGEry9vn70Fs-pni5s2JD22r7ptrR/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard059,standard_may_1995.pdf,"Standard, Vol. 9, May 1995, No. 3",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1995-05,four-page; newsletter,"""Dead or Alive?""; Overseas Summer School; Revival and Soul Winning Conference; Prayer Request; Alumni Reception; 100 Club; Alumni; Graduation; Ensemble; Friends of Southeastern Banquet","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1mp705h3xUlyeKt98b9HXcY4krvHiit9v/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard060,standard_july_1995.pdf,"Standard, Vol. 9, July 1995, No. 4",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1995-07,four-page; newsletter,"""Mischa Bevan Memorial Scholarship Fund Established""; ""Sounds of Praise Make Television Appearance""; Southeastern Day; Upcoming Events; Staff; Alumni; Friends of Southeastern Banquet","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1P4Sh_A0mPyTGFMRr6iNW8NUTQwCpzkBx/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard061,standard_sept_1995.pdf,"Standard, Vol. 9, September 1995, No. 5",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1995-09,four-page; newsletter,"""Do You Have a Missionary Heart?""; Micha Bevan Memorial Scholarship Fund; Enrollment; Friends of Southeastern Banquet; Missionary Conference; Overseas Summer School; Faculty; Needs; Alumni; Upcoming Events","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1_aLKq7ljodbB0G0Sx_Av1_SuogV6Lnar/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard062,standard_nov_1995.pdf,"Standard, Vol. 9, November 1995, No. 6",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1995-11,four-page; newsletter,"""When Was the Last Time You Thanked God for Walmart and Food Lion?""; Needs; Mischa Bevan Memorial Scholarship; Workers Available; Upcoming Events; Missions Conference; ""Members of Local Congregation Spruce Up Campus""; Get Acquainted Days; Alumni","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1j7XWPBpUnW6XvEvosMSUM7_rWVzo-qfR/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard063,standard_jan_1996.pdf,"Standard, Vol. 10, January 1996, No. 1",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1996-01,four-page; newsletter,Spring Conference; Lighting of the Campus; Donations; Dean's List; Fundraiser; Upcoming Events,"35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1eNBAY7ojJ1jJIIPCQCZu1jCCROX7wxMk/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
standard064,standard_mar_1996.pdf,"Standard, Vol. 10, March 1996, No. 2",application/pdf,SFWBC Newsletter,Southeastern Free Will Baptist College,1996-03,four-page; newsletter,"""I'll Never Be the Same Again""; Camp Meeting; Tip-Off Tournament; Graduation Speaker; Alumni","35º 47' 59.4126'' N, 78º 24' 59.8032'' W",SFWBC Archives,https://drive.google.com/file/d/1-St5z3LFotzpIqDT7jofaO4l0BfadHnz/view?usp=sharing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Southeastern Free Will Baptist College Library. For other uses beyond free use, please contact SFWBC Library at catherine.pendley@sfwbc.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image,eng
